StoreID,StoreName,Address,City,Region,Postcode,Country,CountryCode,Latitude,Longitude,Phone,Website,OpeningHours,Source,SourceRef,SourceURL,RetrievedAt
DEC-00001,Decathlon,Entre Ardis,Alger,Alger,,Algeria,DZ,36.7391476,3.1428367,,https://www.decathlon.com.dz/,,OpenStreetMap,node/9025326058,https://www.openstreetmap.org/node/9025326058,2026-07-11T20:29:07+00:00
DEC-00002,Decathlon,,Cheraga,Tipaza,,Algeria,DZ,36.7508917,2.9518127,,,,OpenStreetMap,node/11920100906,https://www.openstreetmap.org/node/11920100906,2026-07-11T20:29:07+00:00
DEC-00003,Decathlon,,باب الزوار,Alger,,Algeria,DZ,36.7119696,3.1967271,,,,OpenStreetMap,node/6896185986,https://www.openstreetmap.org/node/6896185986,2026-07-11T20:29:07+00:00
DEC-00004,Decathlon,,Olivos,Buenos Aires,,Argentina,AR,-34.5321861,-58.4664675,,,,OpenStreetMap,node/13479716163,https://www.openstreetmap.org/node/13479716163,2026-07-11T20:29:07+00:00
DEC-00005,Tempe,"634-726 Princes Hwy, Tempe NSW, Sydney",Arncliffe,New South Wales,2044,Australia,AU,-33.9224380,151.1661880,+61 2 6181 0987,https://www.decathlon.com.au/s/our-stores/tempe,Mo-We 09:00-20:00; Th 09:00-21:00; Fr-Sa 09:00-20:00; Su 09:00-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,1789;way/791886318,https://www.decathlon.com.au/api/store-setting?countryCode=AU; https://www.openstreetmap.org/way/791886318,2026-07-11T20:29:07+00:00
DEC-00006,Bondi,"134 Campbell Parade, Bondi Beach, Sydney",Bondi Beach,New South Wales,2026,Australia,AU,-33.8908321,151.2740128,,,Mo-Su 09:30-17:30,AllThePlaces / localisateur officiel,3248,https://www.decathlon.com.au/api/store-setting?countryCode=AU,2026-07-11T20:29:07+00:00
DEC-00007,Auburn,"300 PARRAMATTA ROAD, Auburn",Granville,New South Wales,2144,Australia,AU,-33.8387389,151.0274436,+61 2 6181 0988,https://decathlon.com.au/pages/store-auburn,Mo-We 10:00-19:00; Th-Sa 10:00-20:00; Su 10:00-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,1791;node/6816396957,https://www.decathlon.com.au/api/store-setting?countryCode=AU; https://www.openstreetmap.org/node/6816396957,2026-07-11T20:29:07+00:00
DEC-00008,Townhall,"SHOP T2-T3 570 George St, Town Hall CBD, Sydney",Haymarket,New South Wales,2000,Australia,AU,-33.8741218,151.2070921,+61 451 813 663,https://www.decathlon.com.au/s/our-stores/town-hall,Mo-Su 10:00-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,3247;node/12979118674,https://www.decathlon.com.au/api/store-setting?countryCode=AU; https://www.openstreetmap.org/node/12979118674,2026-07-11T20:29:07+00:00
DEC-00009,Moorabbin,"405 Boundary Rd, Moorabbin Airport, VIC",Heatherton,Victoria,3194,Australia,AU,-37.9731086,145.1105692,+61 3 7067 5244,https://decathlon.com.au/pages/store-moorabbin,Mo-Fr 09:00-19:00; Sa-Su 10:00-18:00,AllThePlaces / localisateur officiel; OpenStreetMap,1790;way/703047988,https://www.decathlon.com.au/api/store-setting?countryCode=AU; https://www.openstreetmap.org/way/703047988,2026-07-11T20:29:07+00:00
DEC-00010,Manly Corso,"Shop 1 31 The Corso, Manly, Manly, Sydney",Manly,New South Wales,2095,Australia,AU,-33.7978744,151.2862091,+61 404 300 336,,Mo-Fr 09:30-17:30; Sa-Su 09:30-18:00,AllThePlaces / localisateur officiel; OpenStreetMap,3208;node/12791001620,https://www.decathlon.com.au/api/store-setting?countryCode=AU; https://www.openstreetmap.org/node/12791001620,2026-07-11T20:29:07+00:00
DEC-00011,Decathlon,,Mascot,New South Wales,,Australia,AU,-33.9354117,151.1795752,,,Mo-Su 06:00-20:00,OpenStreetMap,node/9896274727,https://www.openstreetmap.org/node/9896274727,2026-07-11T20:29:07+00:00
DEC-00012,Decathlon,,Mill Park,Victoria,,Australia,AU,-37.6490794,145.0733000,,,,OpenStreetMap,node/11245008513,https://www.openstreetmap.org/node/11245008513,2026-07-11T20:29:07+00:00
DEC-00013,Decathlon,,Sydney,New South Wales,2000,Australia,AU,-33.8661408,151.2070970,,https://decathlon.com.au,Mo-Fr 10:00-18:00; Sa-Su 10:00-17:00,OpenStreetMap,node/10722539590,https://www.openstreetmap.org/node/10722539590,2026-07-11T20:29:07+00:00
DEC-00014,Decathlon,,Ebenthal,Carinthia,,Austria,AT,46.6281843,14.3491444,,https://www.decathlon.at/,,OpenStreetMap,node/9859219082,https://www.openstreetmap.org/node/9859219082,2026-07-11T20:29:07+00:00
DEC-00015,Decathlon,6 Gewerbeparkstraße,Gerasdorf bei Wien,Lower Austria,1220,Austria,AT,48.2467953,16.4629302,+43 720 883156,https://www.decathlon.at/,Mo-Fr 09:30-19:00; Sa 09:00-18:00,OpenStreetMap,node/8906654019,https://www.openstreetmap.org/node/8906654019,2026-07-11T20:29:07+00:00
DEC-00016,Decathlon,60 Ganghoferstraße,Seiersberg,Styria,8055,Austria,AT,47.0140356,15.4106351,,,Mo-Fr 09:00-19:00; Sa 09:00-18:00; PH closed,OpenStreetMap,way/1064878006,https://www.openstreetmap.org/way/1064878006,2026-07-11T20:29:07+00:00
DEC-00017,Decathlon,,Traun,Upper Austria,,Austria,AT,48.2444178,14.2361011,,https://www.decathlon.at/,,OpenStreetMap,node/4609198232,https://www.openstreetmap.org/node/4609198232,2026-07-11T20:29:07+00:00
DEC-00018,Decathlon,42-48 Mariahilfer Straße,Vienna,Vienna,,Austria,AT,48.1998475,16.3531861,,,Mo-We 09:30-19:00; Th-Fr 09:30-20:00; Sa 09:30-18:00,OpenStreetMap,node/12064562801,https://www.openstreetmap.org/node/12064562801,2026-07-11T20:29:07+00:00
